Object1,Object2,Dissimdist,Relationship,Traffic
apple,microsoft,0.6905333081,competitor,
gm,target,0.6905590374,peer,
ge,p.hulu,0.6906244173,peer,
c.virtualreality,ge,0.6907128406,constituent,
celgene,biogen,0.6908015787,competitor,
png,timewarner,0.6908150005,peer,
3m,verizon,0.6909047012,peer,
johnsonandjohnson,biogen,0.6910066575,competitor,
fordmotor,ge,0.6910513945,valuechain,
abbott,generaldynamics,0.6911017036,peer,
target,walgreens,0.6911572761,competitor,
ibm,mondelez,0.6912859383,peer,
jpmchase,bristolmyerssquibb,0.6914544593,peer,
abbott,medtronic,0.6915278499,valuechain,
c.bailout,morganstanley,0.691773323,constituent,
att,verizon,0.6917932447,competitor,
3m,merckandco,0.691869254,peer,
honeywell,colgate-palmolive,0.6918926399,valuechain,
honeywell,ibm,0.6920746154,valuechain,
gm,microsoft,0.6921267397,valuechain,
lockheedmartin,unitedtech,0.6924518167,competitor,
3m,nike,0.692814109,valuechain,
abbvie,colgate-palmolive,0.6928248497,peer,
capitalone,mastercard,0.6928679431,valuechain,
simonprop,ge,0.6929200562,valuechain,
chevron,bristolmyerssquibb,0.6930038829,peer,
southernco,mondelez,0.6933886296,valuechain,
ibm,citigroup,0.6934661735,peer,
3m,intel,0.693576064,peer,
honeywell,berkshirehathaway,0.6936840598,peer,
gilead,exxonmobil,0.6938327234,valuechain,
pepsico,ibm,0.6938500481,peer,
gm,priceline,0.6940906051,valuechain,
c.saas,oracle,0.6942740586,constituent,
ibm,ups,0.6943584272,peer,
walgreens,walmart,0.6945005861,competitor,
mcdonalds,ups,0.6945335755,valuechain,
texasinstrument,bristolmyerssquibb,0.6946017739,peer,
texasinstrument,dellemc,0.6948231355,valuechain,
halliburton,conocophillips,0.694856722,valuechain,
abbott,chevron,0.6949300007,valuechain,
pepsico,pfizer,0.6950517753,peer,
cocacola,schlumberger,0.6952248238,peer,
aig,jpmchase,0.6953784317,peer,
ibm,raytheon,0.6954029097,peer,
altria,mondelez,0.6954361702,peer,
allstate,ibm,0.6954647768,peer,
